Event	Latitude	Longitude	Elevation [m]	Diff
PG05	-62.22706899999999	-58.5988	247.9	1.2
PG06	-62.229879000000004	-58.606324	223.7	0.91
PG07	-62.235228	-58.616384	188.6	0.47
PG08	-62.235664	-58.62324	159.1	1.06
PG09	-62.235806000000004	-58.629598	121.0	1.11
PG15	-62.225301	-58.59525	263.9	1.01
PG16_AWS	-62.235946	-58.613468000000005	194.5	0.66
PG16	-62.230670999999994	-58.600963	229.4	-0.55
PG17	-62.236377000000005	-58.621411	167.2	1.05
PG18	-62.237109999999994	-58.628262	131.4	0.79
PG19	-62.237671999999996	-58.633624	96.8	0.83
